url,name,brand,country,gender,rating,rating_count,year,notes_top,notes_middle,notes_base,accords,embedding_text
https://www.fragrantica.com/perfume/armaf/vanity-femme-elegance-27685.html,vanity-femme-elegance,armaf,UAE,women,3.5,40,,"aldehydes, raspberry, black currant, peach","gardenia, tuberose, ylang-ylang, peony, rose","sandalwood, vanilla, cashmere wood, amber, cedar, musk","woody, white floral, fruity, tuberose, sweet","vanity-femme-elegance by armaf. Accords: woody, white floral, fruity, tuberose, sweet. Top notes: aldehydes, raspberry, black currant, peach. Middle notes: gardenia, tuberose, ylang-ylang, peony, rose. Base notes: sandalwood, vanilla, cashmere wood, amber, cedar, musk"
https://www.fragrantica.com/perfume/avon/fashion-model-34494.html,fashion-model,avon,USA,women,3.5,106,2000.0,"melon, violet leaf, lemon, plum, bergamot, mandarin orange","ozonic notes, jasmine, lilac, gardenia, orange blossom","sandalowood, amber, cedar, musk","ozonic, white floral, citrus, floral, woody","fashion-model by avon. Accords: ozonic, white floral, citrus, floral, woody. Top notes: melon, violet leaf, lemon, plum, bergamot, mandarin orange. Middle notes: ozonic notes, jasmine, lilac, gardenia, orange blossom. Base notes: sandalowood, amber, cedar, musk"
https://www.fragrantica.com/perfume/avon/miami-party-15272.html,miami-party,avon,USA,women,3.5,220,2012.0,"blood orange, kumquat, pitahaya","palm leaf, water lily, cyclamen","musk, amber, teak wood","citrus, fruity, fresh, tropical, floral","miami-party by avon. Accords: citrus, fruity, fresh, tropical, floral. Top notes: blood orange, kumquat, pitahaya. Middle notes: palm leaf, water lily, cyclamen. Base notes: musk, amber, teak wood"
https://www.fragrantica.com/perfume/avon/300-km-h-intense-34401.html,300-km-h-intense,avon,USA,men,3.5,56,2013.0,"ginger, geranium, citruses","basil, violet leaves, cedar, anise, petitgrain","patchouli, vetiver, moss, teak wood, guaiac wood, sandalwood, amber, musk","aromatic, fresh spicy, woody, warm spicy, green","300-km-h-intense by avon. Accords: aromatic, fresh spicy, woody, warm spicy, green. Top notes: ginger, geranium, citruses. Middle notes: basil, violet leaves, cedar, anise, petitgrain. Base notes: patchouli, vetiver, moss, teak wood, guaiac wood, sandalwood, amber, musk"
https://www.fragrantica.com/perfume/avon/aquavibe-abraca-aquavibe-laugh-more-47631.html,aquavibe-abraca-aquavibe-laugh-more,avon,USA,women,3.5,36,2017.0,"mandarin orange, lemon, fennel","lily-of-the-valley, raspberry, violet leaf","musk, amber, tonka bean","citrus, white floral, fresh, fruity, sweet","aquavibe-abraca-aquavibe-laugh-more by avon. Accords: citrus, white floral, fresh, fruity, sweet. Top notes: mandarin orange, lemon, fennel. Middle notes: lily-of-the-valley, raspberry, violet leaf. Base notes: musk, amber, tonka bean"
https://www.fragrantica.com/perfume/avon/musk-oxygen-34608.html,musk-oxygen,avon,USA,men,3.5,42,2011.0,"bergamot, lime, mandarin orange",lavender,"lavender, patchouli, amber, cedar","lavender, citrus, aromatic, fresh spicy, patchouli","musk-oxygen by avon. Accords: lavender, citrus, aromatic, fresh spicy, patchouli. Top notes: bergamot, lime, mandarin orange. Middle notes: lavender. Base notes: lavender, patchouli, amber, cedar"
https://www.fragrantica.com/perfume/avon/eve-embrace-65849.html,eve-embrace,avon,USA,women,3.5,162,2020.0,"raspberry, strawberry, violet","rose, iris, osmanthus","patchouli, musk, amberwood, caramel","fruity, sweet, rose, patchouli, woody","eve-embrace by avon. Accords: fruity, sweet, rose, patchouli, woody. Top notes: raspberry, strawberry, violet. Middle notes: rose, iris, osmanthus. Base notes: patchouli, musk, amberwood, caramel"
https://www.fragrantica.com/perfume/avon/full-speed-intense-9443.html,full-speed-intense,avon,USA,men,3.5,54,,"geranium, ginger","cedar, basil, anise","vetiver, teak wood, patchouli, guaiac wood","woody, aromatic, fresh spicy, warm spicy, earthy","full-speed-intense by avon. Accords: woody, aromatic, fresh spicy, warm spicy, earthy. Top notes: geranium, ginger. Middle notes: cedar, basil, anise. Base notes: vetiver, teak wood, patchouli, guaiac wood"
https://www.fragrantica.com/perfume/avon/perceive-silk-67252.html,perceive-silk,avon,USA,women,3.5,100,2021.0,italian mandarin,jasmine,musk,"musky, white floral, powdery, citrus","perceive-silk by avon. Accords: musky, white floral, powdery, citrus. Top notes: italian mandarin. Middle notes: jasmine. Base notes: musk"
https://www.fragrantica.com/perfume/avon/pur-blanca-blush-2880.html,pur-blanca-blush,avon,USA,women,3.5,707,2008.0,"red currant, bergamot, ivy","rose, peony, lilac, water lily, carnation","dried fruits, musk, cedar","floral, fresh, fruity, rose, sweet","pur-blanca-blush by avon. Accords: floral, fresh, fruity, rose, sweet. Top notes: red currant, bergamot, ivy. Middle notes: rose, peony, lilac, water lily, carnation. Base notes: dried fruits, musk, cedar"
https://www.fragrantica.com/perfume/avon/summer-white-bali-63209.html,summer-white-bali,avon,USA,women,3.5,109,2020.0,pomegranate,frangipani,musk,"floral, tropical, musky, woody, fruity","summer-white-bali by avon. Accords: floral, tropical, musky, woody, fruity. Top notes: pomegranate. Middle notes: frangipani. Base notes: musk"
https://www.fragrantica.com/perfume/byredo/sunday-cologne-eau-de-cologne-25295.html,sunday-cologne-eau-de-cologne,byredo,Sweden,unisex,3.5,32,2014.0,"bergamot, star anise, cardamom","lavender, geranium, incense","vetiver, moss, patchouli","aromatic, fresh spicy, citrus, woody, warm spicy","sunday-cologne-eau-de-cologne by byredo. Accords: aromatic, fresh spicy, citrus, woody, warm spicy. Top notes: bergamot, star anise, cardamom. Middle notes: lavender, geranium, incense. Base notes: vetiver, moss, patchouli"
https://www.fragrantica.com/perfume/clean/clean-man-3030.html,clean-man,clean,USA,men,3.5,139,2003.0,"blood grapefruit, lavender, raspberry","lime, incense, cloves","musk, patchouli","citrus, lavender, sweet, warm spicy, musky","clean-man by clean. Accords: citrus, lavender, sweet, warm spicy, musky. Top notes: blood grapefruit, lavender, raspberry. Middle notes: lime, incense, cloves. Base notes: musk, patchouli"
https://www.fragrantica.com/perfume/commodity/book-70022.html,book,commodity,USA,unisex,3.5,254,2021.0,"sandalwood, cedar","black tea, musk",musk,"woody, powdery, musky, green, warm spicy","book by commodity. Accords: woody, powdery, musky, green, warm spicy. Top notes: sandalwood, cedar. Middle notes: black tea, musk. Base notes: musk"
