name,brand,accords,notes,rating,score,source,url
Bergamotto di Calabria La Spugnatura Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['fresh spicy', 65.945868650993], ['aromatic', 52.778255943172]]","{'head': [], 'heart': ['Orange', 'Grapefruit', 'Mandarin Orange'], 'base': ['Geranium', 'Fennel']}",4.09,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Bergamotto-di-Calabria-La-Spugnatura-66175.html
Colonia Intensa Oud Eau de Cologne Concentree Acqua di Parma for men,Acqua di Parma,"[['oud', 100.0], ['leather', 82.700360280355], ['citrus', 77.093813407375], ['aromatic', 71.471528858962], ['animalic', 59.473911992671], ['fresh', 53.546709982745], ['fresh spicy', 53.418841369852], ['woody', 51.400484495579], ['musky', 50.823698690963], ['smoky', 45.810068739918]]","{'head': [], 'heart': ['Agarwood (Oud)', 'Coriander', 'Amyris'], 'base': ['Leather', 'Musk']}",4.34,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Intensa-Oud-Eau-de-Cologne-Concentree-15519.html
Vaniglia Eau de Parfum Acqua di Parma for women and men,Acqua di Parma,"[['vanilla', 100.0], ['powdery', 87.390658990369], ['citrus', 66.230649062444], ['white floral', 57.421416091999], ['musky', 52.239233797772], ['woody', 51.280605019442], ['floral', 49.540492794954], ['almond', 46.841411128036]]","{'head': ['Heliotrope', 'Neroli', 'Calabrian bergamot', 'Mandarin Orange'], 'heart': ['Vanilla', 'Jasmine Sambac'], 'base': ['Musk', 'Cedar']}",4.07,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Vaniglia-Eau-de-Parfum-56003.html
Acqua di Parma Profumo 2008 Acqua di Parma for women,Acqua di Parma,"[['woody', 100.0], ['amber', 67.80360029741], ['earthy', 67.80360029741], ['floral', 62.19639970259], ['mossy', 57.722767549574], ['yellow floral', 57.722767549574], ['white floral', 55.832372662842], ['rose', 54.887413965989], ['citrus', 53.532766253522], ['patchouli', 53.312164475883]]","{'head': ['Ylang-Ylang', 'Bergamot', 'Peony'], 'heart': ['Jasmine', 'Amber', 'French labdanum', 'Rose'], 'base': ['Oakmoss', 'Patchouli', 'Sandalwood', 'Vetiver', 'Musk']}",4.29,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Profumo-2008-5069.html
Fico di Amalfi La Riserva Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['fruity', 79.000066850027], ['sweet', 70.250066850027], ['iris', 56.25], ['woody', 50.999933149973], ['amber', 49.250133700053], ['vanilla', 48.375066850027], ['aromatic', 46.624933149973], ['powdery', 45.749866299947]]","{'head': ['Italian Mandarin', 'Blood Orange', 'Grapefruit', 'Lemon'], 'heart': ['Fig', 'Orris', 'Lemon'], 'base': ['Tonka Bean', 'Ambrettolide', 'Orcanox™']}",4.37,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Fico-di-Amalfi-La-Riserva-107110.html
Ambra Eau de Parfum Acqua di Parma for women and men,Acqua di Parma,"[['woody', 100.0], ['amber', 78.897604823851], ['citrus', 67.835799229524], ['powdery', 61.102339344537], ['animalic', 56.873653062364], ['musky', 55.891909999442], ['balsamic', 54.629166434035], ['rose', 46.152252805538], ['warm spicy', 45.911897716487], ['earthy', 45.110323265033]]","{'head': ['Orange', 'Calabrian bergamot', 'Petitgrain'], 'heart': ['Cedar', 'Rose', 'Cypriol Oil or Nagarmotha', 'Patchouli'], 'base': ['Ambergris', 'Sandalwood', 'Musk', 'Labdanum', 'Vanilla']}",3.87,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Ambra-Eau-de-Parfum-56000.html
Acqua di Parma Blu Mediterraneo - Ginepro di Sardegna Acqua di Parma for women and men,Acqua di Parma,"[['fresh spicy', 100.0], ['aromatic', 79.595919881541], ['woody', 77.703554091375]]","{'head': ['Juniper', 'Allspice', 'Pepper', 'Nutmeg', 'Bergamot'], 'heart': ['Cypress', 'Sage'], 'base': []}",4.21,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Ginepro-di-Sardegna-23851.html
Colonia Mirra Acqua di Parma for men,Acqua di Parma,"[['amber', 100.0], ['warm spicy', 57.514439553592], ['fresh spicy', 56.381483818912], ['balsamic', 51.404531183844], ['citrus', 50.716705145514], ['patchouli', 49.421858648154], ['sweet', 47.528379814183]]","{'head': ['Orange Blossom', 'Citruses'], 'heart': ['Myrhh', 'Nutmeg'], 'base': ['Amber', 'Patchouli']}",4.16,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-Mirra-44015.html
Colonia C.L.U.B. Acqua di Parma for men,Acqua di Parma,"[['aromatic', 100.0], ['fresh spicy', 96.659123296232], ['citrus', 84.744180321272], ['woody', 60.511639357456], ['green', 56.889069845613], ['musky', 54.674964374145], ['powdery', 46.020698503477]]","{'head': ['Bergamot', 'Lemon', 'Pink Pepper', 'Black Pepper'], 'heart': ['Shiso', 'Rosemary'], 'base': ['Musk', 'Cedar']}",4.03,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Colonia-C-L-U-B-72707.html
Chinotto di Liguria Acqua di Parma for women and men,Acqua di Parma,"[['aromatic', 100.0], ['citrus', 90.517180218573], ['fresh spicy', 71.712433609182], ['warm spicy', 57.988570817682], ['woody', 52.503923922076], ['musky', 52.132475496747], ['white floral', 49.870789983916]]","{'head': ['Chinotto', 'Mandarin Orange'], 'heart': ['Rosemary', 'Jasmine', 'Geranium', 'Cardamom'], 'base': ['Musk', 'Patchouli']}",3.89,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Chinotto-di-Liguria-48940.html
Acqua di Parma Profumo Acqua di Parma for women,Acqua di Parma,"[['woody', 100.0], ['rose', 89.741491002571], ['yellow floral', 86.72411311054], ['white floral', 81.896692373608], ['floral', 74.655081405313], ['sweet', 60.896452442159], ['aromatic', 49.18971722365], ['earthy', 48.103307626392], ['musky', 47.379194515853], ['powdery', 46.655081405313]]","{'head': ['Ylang-Ylang', 'Peony', 'Bergamot'], 'heart': ['Bulgarian Rose', 'Jasmine', 'Labdanum'], 'base': ['Vetiver', 'Sandalwood', 'Patchouli', 'Musk']}",4.29,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Profumo-1683.html
Acqua di Parma Blu Mediterraneo - Arancia La Spugnatura Acqua di Parma for women and men,Acqua di Parma,"[['citrus', 100.0], ['sweet', 45.842133336136], ['fresh spicy', 45.578934645692]]","{'head': ['Sicilian Orange', 'Mandarin Orange', 'Lemon'], 'heart': ['Bitter Almond', 'Black Pepper'], 'base': ['Cedar', 'Musk']}",4.1,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-La-Spugnatura-80686.html
Acqua di Parma Iris Nobile Acqua di Parma for women,Acqua di Parma,"[['white floral', 100.0], ['powdery', 92.677261939682], ['citrus', 85.520030576962], ['yellow floral', 82.665351146192], ['iris', 78.579948979138], ['tuberose', 75.898864919158], ['sweet', 70.023377154387], ['floral', 67.212252117721], ['woody', 60.228616125792], ['violet', 54.290285592384]]","{'head': ['Iris', 'Star Anise', 'Bergamot', 'Mandarin Orange', 'Orange'], 'heart': ['Tuberose', 'Orange Blossom', 'Mimosa', 'Ylang-Ylang', 'Hibiscus', 'Cedar'], 'base': ['Vanilla', 'Amber']}",4.01,0,Fragrantica,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Iris-Nobile-1564.html
